Type,Settlement Name,CoordNS,CoordEW
Villa,Lord Cambarth Villas,80.8N, 11.1W
Villa,Simda'r Villas,81.6S, 16.8E
Villa,Empyrean Shore Villas,83.3N, 39.5W
Villa,Ishilai Inlet Villas,84.8S, 51.4E
Villa,Land Bridge Villas,87.1S, 3.3E
Villa,Villa,96.3N, 2.3W
Mansion,Obsidian Plains Mansion - Retired,71.2S, 56.1W
Mansion,Markers End Mansion,28.8S, 3.9E
Mansion,Midsong Festival Stone Mansion,2.3N, 3.2E
Mansion,Artifex North Mansion,31.1N, 48.7W
Mansion,Mite Tunnels Mansion,37.1N, 48.9E
Mansion,Seaside Mansion,33.8N, 69.0E
Mansion,Baishi East Mansion,52.6S, 64.8E
Mansion,Baishi North Mansion,41.5S, 65.5E
Mansion,Trialos Mansion,52.8S, 55.9E
Mansion,Lost Wish Range Mansion,57.7N, 57.4E
Mansion,Blackmire Swamp Mansion,32.0S, 40.8E
Mansion,Witshire Mansion,28.6N, 39.8E
Mansion,Mage Tower Mansion,27.2S, 40.0E
Mansion,Dryreach Mansion,0.7S, 75.4E
Mansion,Sawato Mansion,19.2S, 68.2E
Mansion,Empyrean Fields Mansion,38.4S, 46.6E
Mansion,Empyrean Shrine Mansion,84.0N, 35.1W
Mansion,Artifice Mansion,82.5S, 8.1E
Mansion,Farmstead Mansion,64.9N, 48.8W
Mansion,Treehouse Tower Mansion,41.7N, 10.5E
Mansion,Forgotten Mansion,14.3N, 34.7E
Mansion,Underground Forest Mansion,27.9N, 21.0E
Mansion,Two Pillars Mansion,27.4N, 33.5E
Mansion,Green Mire Mansion,25.5S, 68.7E
Mansion,Hidden Valley Mansion,14.6N, 12.9W
Mansion,Hilltop Mansion,14.2N, 41.5E
Mansion,Inner Sea Mansion,16.9N, 21.6W
Mansion,Isle of Tears Mansion,25.6N, 54.3E
Mansion,Jasmine Meadow Mansion,44.1S, 46.4E
Mansion,Kara Mansion,84.7S, 45.0E
Mansion,Zombie Castle Mansion,47.2S, 35.2E
Mansion,Krau Li Labyrinth Mansion,36.6S, 26.3E
Mansion,Saadia's Retreat Mansion,50.3S, 76.8E
Mansion,Linvak Range Mansion,62.2S, 47.4E
Mansion,Enchantment Mansion,56.1N, 64.1E
Mansion,Lytelthorpe Mansion,3.2N, 55.8E
Mansion,Seedsow Festival Stone Mansion,1.7S, 44.5E
Mansion,Power Plant Mansion,27.3N, 11.9E
Mansion,Marae Vista Mansion,64.7N, 51.9W
Mansion,Mayoi Mansion,66.1S, 80.8E
Mansion,Mountain Keep Mansion,52.1N, 30.6E
Mansion,Nanto North Mansion,47.1S, 79.3E
Mansion,Virindi Complex Mansion,72.9N, 32.7E
Mansion,Artifex South Mansion,19.9N, 41.3W
Mansion,Danby's Outpost Mansion,23.0N, 32.8W
Mansion,Point Tremblant Mansion,97.0N, 4.1E
Mansion,Mesa Valley Mansion,51.4N, 13.0E
Mansion,Northreach Mansion,79.8N, 32.7E
Mansion,Obsidian Span Mansion,37.6N, 44.9E
Mansion,Olthoi North Mansion,61.7N, 75.2E
Mansion,Far West Shores Mansion,42.2N, 51.5W
Mansion,Plateau River Mansion,58.5N, 49.5W
Mansion,Roadside Mansion,63.1S, 21.6E
Mansion,Forking Trail Mansion,66.4S, 18.6E
Mansion,Riverbend Mansion,0.2S, 60.8E
Mansion,Samsur Crater Mansion,0.6S, 24.9E
Mansion,Leikotha's Crypt Mansion,6.4S, 32.0E
Mansion,Sawato Spire Mansion,32.8S, 59.1E
Mansion,Banderling Conquest Mansion,33.4S, 49.8E
Mansion,Banderling Camp Mansion,35.3S, 56.7E
Mansion,Ridge Route Mansion,16.3N, 43.0W
Mansion,Two Sand Bars Mansion,83.0S, 59.9E
Mansion,South Shore Overlook Mansion,90.3S, 8.9E
Mansion,Landbridge Mansion,83.2S, 3.9E
Mansion,South Shore Mansion,92.0S, 12.6E
Mansion,Frostfell Festival Stone Mansion,62.3N, 28.8W
Mansion,Deep Forest Mansion,31.2N, 3.8W
Mansion,Banderling Tower Mansion,35.1N, 9.7E
Mansion,Tou-Tou Estate,36.2S, 89.0E
Mansion,Uziz Mansion,29.5S, 31.1E
Mansion,Desert Path Mansion,16.9S, 26.3E
Mansion,South Uziz Mansion,38.1S, 29.3E
Mansion,Snow Capped Mountain Mansion,64.5S, 73.7E
Mansion,Northwest Delta Mansion,61.5N, 48.8W
Mansion,Nicks Signature Mansion,51.2S, 15.3E
Mansion,Yanshi Mansion,12.7S, 52.0E
Mansion,Folthid Mansion,8.7S, 49.7E
Mansion,Yaraq Mansion,23.2S, 4.0E
Mansion,Halls of the Helm Mansion,22.5N, 4.9E
Mansion,Zaikhal Mansion,15.0N, 8.7E
Mansion,Desert March Mansion,10.4N, 5.7W
