"Type","Name","CoordNS","CoordEW","HasCottages"
"Villa","Naqut Dreams Villas","-9.5","11.5","False"
"Villa","Neu Gerz Villas","-7","56.9","False"
"Villa","Nidal-Taraq Villas","15.2","-17.5","False"
"Villa","North Lytelthorpe Villas","6.4","49","False"
"Villa","North Sawato Villas","-19.8","56","False"
"Villa","North Yaraq Villas","-15.1","-2.5","False"
"Villa","Palm-of-Stone Villas","11","26.4","False"
"Villa","Qalaba'r Seaside Villas","-68.2","14.2","False"
"Villa","Rahvard Square","52.1","-39.9","False"
"Villa","Rivermouth Villas","51.4","-50.3","False"
"Villa","Ro-Nan","-63.1","35.2","False"
"Villa","Sanam Batal Villas","31.2","-11.9","False"
"Villa","Shield of Ispar Villas","-40","36","False"
"Villa","Shou-Zin","-36.7","69.1","False"
"Villa","Siege Road Villas","3.1","65.7","False"
"Villa","Simda'r Villas","-81.6","16.8","False"
"Villa","Soltan Villas","24.8","15.3","False"
"Villa","South Beach Pass Villas","35.3","65.9","False"
"Villa","South Hebian-To Estates","-45.6","83.3","False"
"Villa","South Shoushi Villas","-40.6","69.7","False"
"Villa","South Siege Villas","-12.8","72.8","False"
"Villa","South Uziz Villas","-34.4","29.5","False"
"Villa","Stone Face Oasis Villas","1.7","21.7","False"
"Villa","Stone Scythe Stronghold","35.9","-32.7","True"
"Villa","Stoneport Villas","-25.6","79.3","False"
"Villa","Stormtree Villas","56.5","-35.2","False"
"Villa","Tanshi","-45.6","67.2","False"
"Villa","Tarn Vinara Villas","27.8","-25.4","False"
"Villa","Tattered Ridge","-59.9","44.3","False"
"Villa","Tinkelo Hold Villas","17.5","36.1","False"
"Villa","Tou-Tou Road Villas","-42.4","91.3","False"
"Villa","Unified Heart Villas","13.7","16.1","False"
"Villa","Villa","96.3","-2.3","False"
"Villa","Villa","44.2","-39.4","False"
"Villa","Villa","-46.9","29.4","False"
"Villa","Villa","20.3","31.2","False"
"Villa","Villa","10.6","69.5","False"
"Villa","Villa","36.2","-51.7","False"
"Villa","Villa","-34.6","95.8","False"
"Villa","Villa","49.5","24.9","False"
"Villa","Villa","-65.5","84","False"
"Villa","Villa","55.4","-41.7","False"
"Villa","Villa","-56.7","27.1","False"
"Villa","Villa","64.6","-20.6","False"
"Villa","Villa","64.9","68.7","False"
"Villa","Villa","-52.9","19","False"
"Villa","Villa","66.5","74.5","False"
"Villa","Villa","-70.6","22.2","False"
"Villa","Villa","-55.3","86.5","False"
"Villa","Villalabar","-60.6","18.5","False"
"Villa","Villas","62.5","-25.5","False"
"Villa","Villas","35.2","-27.1","False"
"Villa","Villas","72","-26.3","False"
"Villa","Villas","9.6","0.9","False"
"Villa","Villas","44.1","-5.5","False"
"Villa","Villas","-42.9","30.5","False"
"Villa","Villas","-48","32.1","False"
"Villa","Villas","47.2","63.3","False"
"Villa","Villas","38.4","24.1","False"
"Villa","Villas","63.3","56.9","False"
"Villa","Vulture's Eye Villas","-13.6","26.5","False"
"Villa","West Holtburg Villas","46.5","40.7","False"
"Villa","West Mayoi Mountain Villas","-60.8","73.6","False"
"Villa","West Rithwic Estates","12","48.1","False"
"Villa","West Zaikhal Freehold","16.8","-9.6","True"
"Villa","Wilomine Villas","37.6","-48.9","False"
"Villa","Wolfenvale","31.2","-28.7","False"
"Villa","Yee Villas","35.2","-36","False"
